help_employee_ment1,希望するスタッフを押して取り付けボタンを押して取り付けます。 ?着時にカ?ド1枚を消耗します。
help_employee_ment2,装着した職員に業務を指定してくれるべきです。職員装着スロットのそばのセクション選択スロットを押してやりたい業務を選択してください。
help_employee_ment3,低ランクのカ?ド10枚を消耗することで、高ランクのランダム社員カ?ド1枚を獲得できます。 最大等級はS等級です。
help_grill_ment1,グリル上のパティスロットを押して、パティを上げることができます。
help_grill_ment2,?き加減によってスライダ?の色が?わります。 ?けたパティをひっくり返すか、獲得してください。 あまりにも長い間放置すると燃えてしまいます！
help_grill_ment3,片面に火が通ったら裏返して反?側の面も?いてください。 反?側の?も煮えたら、パティを得ることができます。
help_grill_ment4,パティが焦げるとグリルから燃えた煙が上がってきて、音が聞こえてきます。
help_prep_ment1,上がってくる野菜を切って獲得してください!
help_fryer_ment1,フライヤーを押してポテトを揚げることができます。
help_fryer_ment2,焼き加減によって天ぷら、スライダーの色が変わります。 焼けた天ぷらを押して獲得してください。 あまりにも長い間放置すると燃えてしまいます！
help_fryer_ment3,ポテトが焦げると、フライヤーから煙が上がって音を聞きます。
info_nocurruncey,残高が不足しています。
info_nostamp,残っているはんこがありません。
info_dailygranted,一日補償を獲得しました。
info_already_dailygranted,本日はすでにご褒美を獲得しております。
info_Invalid_recipe,レシピと一致する注文がありません。
info_require_section,職員が作業するセクションを選択しなければなりません。
info_stampfull,スタンプがいっぱいです
info_noselect_card,カードを選択する必要があります。
info_notenough_card,アップグレードに必要なカードが足りません。
info_upgrade_full,すでに最高等級です。
event_time_next,次の報酬まで 
event_redeem_locked,ロック
event_redeem_unlock,取得！
event_redeem_redeemed,取得完了
event_title,ログイン報酬イベント 
event_description,WakBurgerの発売を記念して一定時間以上アクセスしたすべての方々に特別なプレゼントを差し上げます！
event_clear,イベント完了!
event_time_end,イベントが終了しました。
redeem_main,クーポンコード登録
redeem_info,* コードをコピーした後、ZEPETOの設定 > クーポン登録から登録することができます。iOSユーザーは、ZDEアカウントのフィードURLを使用して登録できます。(@zde_shop)
receipts_14_1,博士が包?してくれるように?みました！
receipts_14_2,?み物でキャノ?ラ油はありませんか？
receipts_14_3,き@&Oです！#^！~
receipts_15_1,おい、バ?ガ?を一つください！
receipts_15_2,バ?ガ?を注文するのが君にとってとても[バ?ガ?]ですか？ くはははです
receipts_15_3,この家をよく訪れるようになりますね。とても?に入っています
receipts_17_1,チ?ズです。
receipts_17_2,チ?ズですか？
receipts_17_3,チ?ズです！！
receipts_18_1,あ、お腹すきました。早くください~
receipts_18_2,これはシムティは使えますか？
receipts_18_3,あ、何を食べましょうか？ すごく?みますね？ おすすめしてください~！
receipts_19_1,え？何かもっと?もうと思ったのに 忘れてしまいました
receipts_19_2,このド?パミンはとてもお腹が空いています。
receipts_19_3,うわぁ…今日は太っ腹に食べます
receipts_20_1,おはようございます？ ハンバ?ガ?を一つお願いします。
receipts_20_2,オレのチャクラが足りません。 早く食べ物をください。
receipts_20_3,ホリモリ?ロリポリハリガリワカモリ?カリワクですか？
receipts_21_1,私は13男なので、これくらいは食べないといけないんです。
receipts_21_2,オニ！ここのバ?ガ?の味が柔らかく溶けます。
receipts_21_3,あ、お腹すいた。バーガーでも食べよう。
receipts_22_1,ここにハンバーガーが1つですよ
receipts_22_2,このバ?ガ?の味が私を押しのけるふりをして ずっと引っ張ります
receipts_22_3,注文するからぶつぶつ言わないでください
receipts_23_1,ハンバ?ガ?を一つください。
receipts_23_2,セットを6つ別?に包?してください。 私が食べるのではなく、アイドルの方?が食べるんです！
receipts_23_3,ハハハ、その通りです。 私がまさに?象現レントゲニウムです。
receipts_24_1,ハンバ?ガ?を一つ注文します。
receipts_24_2,このハンバ?ガ?によく合うカクテルがありますが、一度召し上がってみますか？
receipts_24_3,あ、いらっしゃったんですね。 注文しようと待っていました。
receipts_25_1,ハンバ?ガ?を一つください。
receipts_25_2,今日は正義の泥棒になろうかと?みましたが、我慢します。
receipts_25_3,神?、今日もおいしいハンバ?ガ?を注文することを許可してください。
receipts_26_1,下品なもの、バ?ガ?を一つください。
receipts_26_2,私が直接ここの常連になってくれますね。
receipts_26_3,今日は?がる?空の下、このハンバ?ガ?でピクニックを?しみたいですね。
receipts_27_1,バ?ガ?を一つください。
receipts_27_2,ハンバ?ガ?の色は何色か知っていますか？ 正解はバ?ガンディ?色です。 ハハハ.
receipts_27_3,ハンバ?ガ?の理想のタイプは何ですか？ それは「チ?ズ」できる人です。 ハハハ.
receipts_29_1,私ハンバ?ガ?好きなんだけど、一つだけください。
receipts_29_2,注文してから待つ時間がときめきの始まりです！
receipts_29_3,私の魔法でもこの味は生かせません！
receipts_30_1,「泥棒」\こんにちは。生計型泥棒です。 バ?ガ?を一つ持って行ってもいいですか？
receipts_30_2,「泥棒」\バ?ガ?を早くくださらなければ、一方的な泥棒に切り替えるしかないと思います。
receipts_30_3,「泥棒」\トッピングにパクチ?を入れていただくことはできないんですか？
receipts_32_1,セットで買うのがいいのか?品で買うのがいいのか心理的に考える?値があるテ?マだと思います。
receipts_32_2,ハンバ?ガ?の最も理想的な割合で材料を積み重ねると、その味の違いが明らかになります。
receipts_32_3,ハンバ?ガ?は??な?養素が入った完全製品だそうですが、多量を?取すると健康を害する恐れがあります。
receipts_33_1,私のは野菜をたっぷり入れてください
receipts_33_2,私が缶500ウォンずつ?って貯めたお金なので、少し安くしてください~
receipts_33_3,ここが本?においしいお店です。 これが僕のシェシャンです
receipts_35_1,私がハンバ?ガ?を?んでもいいですか。
receipts_35_2,私があげられるのは同じじゃない?物が作ったばかりの安い歌詞と各自の褒めすぎに感謝します
receipts_35_3,部隊で食べる味とは次元が違いますね···
receipts_36_1,ここで?っているハンバ?ガ?は本?に高級感があります！
receipts_36_2,この値段でこんなにおいしいハンバ?ガ?が食べられるなんて、すごいです！
receipts_36_3,このハンバ?ガ?の値段です.. とんでもないです！
receipts_37_1,ハンバ?ガ?を一つください。
receipts_37_2,このハンバ?ガ?は他の場所で食べるよりもおいしいです。
receipts_37_3,ここはサイドの方がおいしいと思います。
receipts_38_1,"ハンバ?ガ?の注文、今できますか？"
receipts_38_2,ここで?っているハンバ?ガ?は食べれば食べるほど魅力的です。
receipts_38_3,ここで?っているハンバ?ガ?は本?に最高です。 味も豊富で新鮮です！
receipts_39_1,"ハンバ?ガ?一つ、テイクアウトです。"
receipts_39_2,このハンバ?ガ?を見ると食欲が爆?します。 一口に幸せいっぱいというか？
receipts_39_3,ここのハンバ?ガ?は本?に絶品です。 他では味わえません。
